Data,Link
2020-02-29,https://observador.pt/2020/02/29/um-milhao-de-infetados-pelo-coronavirus-a-entrevista-o-esclarecimento-e-a-conferencia-de-imprensa-dentro-de-momentos/
2020-03-01,https://observador.pt/2020/03/01/mais-35-mortes-na-china-nas-ultimas-24-horas-australia-e-tailandia-registam-primeiras-vitimas-mortais/
2020-03-02,https://observador.pt/2020/03/02/passageira-do-sud-expresso-tem-febre-tosse-muito-ligeira-e-dores-de-garganta-regressou-do-norte-de-italia-no-dia-23/
2020-03-03,https://observador.pt/2020/03/03/numero-de-casos-do-novo-coronavirus-na-china-continua-a-cair/
2020-03-04,https://observador.pt/2020/03/04/quinto-caso-positivo-em-portugal-homem-de-44-anos-esta-internado-no-sao-joao/
2020-03-05,https://observador.pt/2020/03/05/portugal-com-seis-confirmacoes-de-covid-19-china-ultrapassa-os-3-mil-mortos/
2020-03-06,https://observador.pt/2020/03/06/coreia-do-sul-regista-518-novos-casos-de-coronavirus-em-24-horas-surto-ja-fez-3383-mortos/
2020-03-07,https://observador.pt/2020/03/08/4-novos-casos-de-coronavirus-governo-anunciou-medidas-para-conter-surto-12-provincias-em-italia-isoladas/
2020-03-08,https://observador.pt/2020/03/08/4-novos-casos-de-coronavirus-governo-anunciou-medidas-para-conter-surto-12-provincias-em-italia-isoladas/
2020-03-09,https://observador.pt/2020/03/09/governo-recomenda-suspensao-de-alguns-eventos-em-portugal/
2020-03-10,https://observador.pt/2020/03/10/mais-de-4-000-mortos-em-todo-o-mundo-ha-39-casos-de-coronavirus-em-portugal/
2020-03-11,https://observador.pt/2020/03/11/conselho-nacional-de-saude-publica-decide-hoje-medidas-de-contencao/
2020-03-12,https://observador.pt/2020/03/12/mais-escolas-fecham-portas-por-causa-do-covid-19-trump-suspende-voos-vindos-da-europa-durante-30-dias/
2020-03-13,https://observador.pt/2020/03/13/coronavirus-o-primeiro-dia-de-um-pais-em-estado-de-alerta/
2020-03-14,https://observador.pt/2020/03/14/trabalhadores-que-tenham-de-ficar-em-casa-com-os-filhos-recebem-ate-1-905-euros/
2020-03-15,https://observador.pt/2020/03/15/coronavirus-acores-anuncia-primeiro-caso-com-teste-positivo-e-lanca-apelo-a-passageiros-de-voo-da-ryanair-2/
2020-03-16,https://observador.pt/2020/03/16/coronavirus-semana-comeca-com-o-pais-a-meio-gas-lideres-preparam-medidas/
2020-03-17,https://observador.pt/2020/03/18/coronavirus-italia-ultrapassa-os-31-500-casos-confirmados-mas-crescimento-esta-a-diminuir/
2020-03-18,https://observador.pt/2020/03/18/coronavirus-italia-ultrapassa-os-31-500-casos-confirmados-mas-crescimento-esta-a-diminuir/
2020-03-19,https://observador.pt/2020/03/19/nao-receber-amigos-em-casa-para-jantar-as-recomendacoes-da-dgs-ao-governo/
2020-03-20,https://observador.pt/2020/04/27/quase-3-milhoes-de-infetados-com-novo-virus-no-mundo/
2020-03-21,https://observador.pt/2020/03/21/covid-19-angola-anuncia-primeiros-dois-casos-positivos/
2020-03-22,https://observador.pt/2020/03/22/trump-gostava-que-a-china-tivesse-dito-antes-o-que-estava-a-acontecer/
2020-03-23,https://observador.pt/2020/03/23/coronavirus-ja-matou-mais-de-14-300-a-nivel-global/
2020-03-24,https://observador.pt/2020/03/24/china-levanta-isolamento-obrigatorio-na-provincia-de-hubei-um-quinto-da-populacao-mundial-em-isolamento/
2020-03-25,https://observador.pt/2020/03/25/tres-quartos-dos-portugueses-concordam-com-estado-de-emergencia/
2020-03-26,https://observador.pt/2020/03/26/china-regista-67-novos-casos-vindos-do-exterior/
2020-03-27,https://observador.pt/2020/03/27/covid-19-jair-bolsonaro-critica-neurose-de-fechar-tudo-e-garante-que-nada-acontece-com-os-brasileiros/
2020-03-28,https://observador.pt/2020/03/28/urgencia-basica-do-hospital-de-peniche-encerrada-e-equipa-colocada-em-quarentena/
2020-03-29,https://observador.pt/2020/03/29/terceiro-periodo-sem-escolas-ministro-admite-aulas-por-canais-ao-estilo-youtube-ou-tv-cabo/
2020-03-30,https://observador.pt/2020/03/30/covid-19-ja-matou-quase-34-mil-pessoas-em-todo-o-mundo/
2020-03-31,https://observador.pt/2020/03/31/perto-de-800-mil-infetados-no-mundo-politicos-voltam-a-reunir-com-especialistas-a-pensar-na-prorrogacao-do-estado-de-emergencia/
2020-04-01,https://observador.pt/2020/04/01/eua-ultrapassam-as-860-mortes-pelo-novo-coronavirus-num-so-dia/
2020-04-02,https://observador.pt/2020/04/02/quase-um-milhao-de-infetados-em-todo-o-mundo-eua-ultrapassam-as-800-mortes-num-so-dia/
2020-04-03,https://observador.pt/2020/04/03/portugal-acorda-com-mais-restricoes-apos-maratona-no-conselho-de-ministros-vacina-contra-tuberculose-estudada-para-combate-a-covid-19/
2020-04-04,https://observador.pt/2020/04/04/a-epidemia-esta-a-correr-bem-jorge-torgal-em-entrevista-ao-observador/
2020-04-05,https://observador.pt/2020/04/05/um-plano-marshall-esta-ao-alcance-da-uniao-europeia-diz-poiares-maduro/
2020-04-06,https://observador.pt/2020/04/06/china-diz-ter-menos-de-1-300-infetados-no-pais/
2020-04-07,https://observador.pt/2020/04/07/covid-19-perto-de-80-mil-mortos-e-leva-boris-johnson-aos-cuidados-intensivos/
2020-04-08,https://observador.pt/2020/04/08/covid-19-ja-matou-mais-de-82-mil-pessoas-wuhan-comecou-hoje-a-reabrir/
2020-04-09,https://observador.pt/2020/04/09/espanha-e-reino-unido-decidem-hoje-se-mantem-medidas-de-emergencia/
2020-04-10,https://observador.pt/2020/04/10/mais-de-1-700-mortes-nos-eua-que-ultrapassa-espanha-ha-mais-de-95-mil-vitimas-mortais-em-todo-o-mundo/
2020-04-11,https://observador.pt/2020/04/11/eua-ultrapassam-o-meio-milhao-de-infetados-com-o-novo-coronavirus/
2020-04-12,https://observador.pt/2020/04/12/idosos-podem-ter-de-isolar-se-ate-ao-fim-do-ano-avisa-presidente-da-comissao-europeia/
2020-04-13,https://observador.pt/2020/04/13/estados-unidos-registam-mais-de-1-500-mortos-nas-ultimas-24-horas/
2020-04-14,https://observador.pt/2020/04/14/covi-19-numero-de-casos-mundiais-aproxima-se-dos-2-milhoes/
2020-04-15,https://observador.pt/2020/04/15/eua-registam-mais-de-2-200-mortes-em-24-horas-numero-de-mortes-no-mundo-ja-ultrapassa-as-126-mil/
2020-04-16,https://observador.pt/2020/04/16/um-mes-depois-da-primeira-morte-por-covid-19-em-portugal-o-pais-aproxima-se-das-600/
2020-04-17,https://observador.pt/2020/04/17/covid-19-mais-de-quatro-mil-mortos-em-24-horas-nos-estados-unidos-da-america/
2020-04-18,https://observador.pt/2020/04/18/eua-com-3-450-mortes-num-dia-mas-china-teve-mais-diz-trump/?preview=true
2020-04-19,https://observador.pt/2020/04/19/no-dia-em-que-a-europa-chegou-as-100-mil-mortes-dezenas-de-artistas-cantaram-em-casa-angariaram-quase-128-milhoes-de-dolares/
2020-04-20,https://observador.pt/2020/04/20/estados-unidos-com-quase-dois-mil-mortos-nas-ultimas-24-horas/
2020-04-21,https://observador.pt/2020/04/21/trump-usa-o-inimigo-invisivel-do-coronavirus-para-travar-temporariamente-imigracao/
2020-04-22,https://observador.pt/2020/04/22/estados-unidos-da-america-registam-mais-2-751-mortes-por-covid-19/
2020-04-23,https://observador.pt/2020/04/23/eua-com-1-738-mortes-nas-ultimas-24h-menos-mil-do-que-no-dia-anterior/
2020-04-24,https://observador.pt/2020/04/24/com-mais-de-50-mil-mortos-eua-tem-mais-de-25-das-vitimas-de-covid-19-em-todo-mundo/
2020-04-25,https://observador.pt/2020/04/25/um-mes-depois-do-inicio-do-confinamento-portugueses-acham-que-correm-menos-risco-de-infecao/
2020-04-26,https://observador.pt/2020/04/26/pandemia-ja-matou-mais-de-200-mil-pessoas-em-todo-o-mundo-china-regista-11-novas-infecoes/
2020-04-27,https://observador.pt/2020/04/27/quase-3-milhoes-de-infetados-com-novo-virus-no-mundo/
2020-04-28,https://observador.pt/2020/04/28/funcionarios-publicos-de-hong-kong-com-ordens-para-regressar-ao-trabalho-mais-de-3-milhoes-de-casos-em-todo-o-mundo/
2020-04-29,https://observador.pt/2020/04/29/covid-19-ja-matou-mais-de-218-mil-pessoas-em-todo-o-mundo-ha-mais-de-31-milhoes-de-infetados/
2020-04-30,https://observador.pt/2020/04/30/los-angeles-vai-oferecer-testes-gratuitos-a-toda-a-populacao/
